,Borough,Neighborhood,Latitude,Longitude
0,Seattle,North Seattle,47.6607729,-122.29149712901399
1,North Seattle,Broadview,47.722319899999995,-122.3604067
2,North Seattle,Bitter Lake,47.7262358,-122.3487639
3,North Seattle,North Beach ,47.6962103,-122.392362
4,North Seattle,Crown Hill,47.6947154,-122.37145859999998
5,North Seattle,Greenwood,47.6909806,-122.3548773
6,North Seattle,Northgate,47.713153399999996,-122.3212307
7,Northgate,Haller Lake,47.72078079999999,-122.3304243
8,Northgate,Pinehurst,47.6038321,-122.3300624
9,Northgate,Maple Leaf,47.6939869,-122.322905
10,North Seattle,Lake City,47.7191619,-122.2954939
11,Lake City,Cedar Park,47.7256535,-122.2859597
12,Lake City,Matthews Beach,47.69692655,-122.272723630417
13,Lake City,Meadowbrook,47.7056157,-122.288157925341
14,Lake City,Olympic Hills,47.7299,-122.2991
15,Lake City,Victory Heights,47.707598,-122.3076269
16,North Seattle,Wedgwood,47.6902531,-122.29081090000001
17,North Seattle,View Ridge,47.679542700000006,-122.27401440000001
18,North Seattle,Sand Point,47.682359399999996,-122.26431219999999
19,North Seattle,Roosevelt,47.67730460000001,-122.31380709605601
20,North Seattle,Ravenna,47.6756537,-122.29762620000001
21,North Seattle,Bryant,47.6767215,-122.29235207514799
22,North Seattle,Windermere,47.6709318,-122.26179170000002
23,Windermere ,Hawthorne Hills,47.67204279999999,-122.27540320000001
24,North Seattle,Laurelhurst,47.663431700000004,-122.27706979999999
25,North Seattle,University District ,47.6612984,-122.3131523
26,Ravenna ,University Village,47.6627401,-122.29892509325701
27,North Seattle,Wallingford,47.659463099999996,-122.33434170000001
28,Lake Union ,Northlake,47.654379399999996,-122.32089665
29,North Seattle,Green Lake,47.6801546,-122.3240935
30,North Seattle,Fremont,47.6504529,-122.34998610000001
31,North Seattle,Phinney Ridge,47.6721306,-122.35403059999999
32,North Seattle,Ballard,47.6765073,-122.3862233
33,Ballard,West Woodland,47.675973299999995,-122.34749920000002
34,Ballard,Whittier Heights,47.683296999999996,-122.3714487
35,Ballard,Adams,47.5653,-122.2720136
36,Ballard,Sunset Hill,47.6752172,-122.39844840000002
37,Ballard,Loyal Heights,47.6887088,-122.39290729999999
38,Seattle,Central Seattle,47.61269375,-122.303204611985
39,Central Seattle,Magnolia,47.6489369,-122.39311529999999
40,Magnolia,Lawton Park,47.6563294,-122.4002959
41,Magnolia,Briarcliff,47.6481511,-122.407612119837
42,Magnolia,Southeast Magnolia,47.6489369,-122.39311529999999
43,Central Seattle,Interbay,47.640741799999994,-122.3763394
44,Central Seattle,Queen Anne,47.6394805,-122.3607453
45,Queen Anne,North Queen Anne,47.6394805,-122.3607453
46,Queen Anne,East Queen Anne,47.6394805,-122.3607453
47,Queen Anne,Lower Queen Anne,47.622338,-122.3557559
48,Queen Anne,West Queen Anne,47.6394805,-122.3607453
49,Central Seattle,Capitol Hill,47.623830700000006,-122.3183689
50,Capitol Hill,Portage Bay ,47.64748415,-122.319286385046
51,Capitol Hill,Broadway,47.6033194,-122.32077609999999
52,Capitol Hill ,Montlake,47.64140820000001,-122.3030441
53,Capitol Hill,Stevens,47.6543494,-122.315996271154
54,Capitol Hill ,Interlaken,47.63751375,-122.31078142948401
55,Capitol Hill ,Madison Valley,47.6199156,-122.2956143
56,Capitol Hill ,Renton Hill,47.5504875,-122.2848908
57,Capitol Hill ,Madison Park,47.6359301,-122.2801963
58,Madison Park,Broadmoor,47.635169899999994,-122.2897114
59,North Seattle ,Lake Union,47.63991865,-122.335558092029
60,Lake Union,"South Lake Union, Seattle",47.623161100000004,-122.33838159999999
61,South Lake Union,"Cascade, Seattle",47.620240700000004,-122.33331770000001
62,Lake Union,Westlake,47.6328217,-122.341842560126
63,Lake Union,Eastlake,47.643144799999995,-122.32617211691002
64,Central Seattle,Downtown,47.6048723,-122.3334582
65,Downtown,Belltown,47.6132311,-122.34536070000001
66,Downtown,Pike-Market,47.6038321,-122.3300624
67,Downtown,Central Business District,47.609531700000005,-122.3362895
68,Downtown,First Hill,47.609305299999995,-122.32498390000002
69,Downtown,Pioneer Square,47.60213935,-122.333927450455
70,Downtown,International District ,47.602895600000004,-122.3398408
71,Downtown,Yesler Terrace,47.6012658,-122.3191595
72,Downtown,Central Waterfront,47.6038321,-122.3300624
73,Downtown,West Edge,47.6063396,-122.33763200000001
74,Central Seattle,Central Area ,47.6038321,-122.3300624
75,Central Area,Mann,47.60883185,-122.337419289804
76,Central Area,Minor,47.62659435,-122.332267074627
77,Central Area,Atlantic,47.590492700000006,-122.324312702434
78,Atlantic,Judkins Park,47.5914702,-122.304068903085
79,Central Area,Madrona,47.6127915,-122.2912264
80,Madrona,Madrona Valley,47.6127915,-122.2912264
81,Central Area,Harrison,47.6221233,-122.32693950000001
82,Harrison,Washington Park,47.6275672,-122.28748619999999
83,Central Area,Leschi,47.6005352,-122.2918664
84,Seattle,South End,47.6038321,-122.3300624
85,South End,Rainier Valley,47.552544,-122.29088940000001
86,Rainier Valley,Mount Baker,47.578552200000004,-122.28952620000001
87,Rainier Valley,Columbia City,47.5579124,-122.28521620000001
88,Rainier Valley ,Hillman City,47.552435100000004,-122.274915174546
89,Rainier Valley,Brighton,47.546210200000004,-122.2756794
90,Rainier Valley,Dunlap ,47.5314881,-122.2695679
91,Rainier Valley,Rainier Beach ,47.523076200000006,-122.270288
92,Rainier Valley,Rainier View ,47.552544,-122.29088940000001
93,South End,Seward Park,47.5512156,-122.2657999
94,Seward Park,Lakewood,47.563154499999996,-122.2717906
95,South End,Beacon Hill,47.57925785,-122.31159768732701
96,Beacon Hill,North Beacon Hill,47.57925785,-122.31159768732701
97,Beacon Hill,Holly Park,47.5416501,-122.29192900000001
98,Beacon Hill,South Beacon Hill ,47.5775857,-122.30996029999999
99,Industrial District,SoDo,47.581261600000005,-122.32743070000001
100,Industrial District,Harbor Island,47.5798609,-122.35187460633699
101,South End,Georgetown,47.5489326,-122.33005729999999
102,South End,South Park,47.526467499999995,-122.32291310000001
103,Seattle,West Seattle,47.5709315,-122.3865166
104,West Seattle,Alki Point,47.5762895,-122.42079679999999
